ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",5,"45 to 54 Years",2017,"2017",708,194,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.010891469886931774
3,"Foreign Born",6,"55 to 59 Years",2017,"2017",142,99,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0021844473502038303
3,"Foreign Born",7,"60 & 61 Years",2017,"2017",132,92,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.002030613029766941
3,"Foreign Born",8,"62 to 64 Years",2017,"2017",91,67,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0013998923159756942
3,"Foreign Born",9,"65 to 74 Years",2017,"2017",220,80,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0033843550496115682
3,"Foreign Born",10,"75 Years & Over",2017,"2017",175,102,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0026921006076455656
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6048,"2016",2444,465,"Ames, IA","16000US1901855","ames-ia","Native Born",0.038143992009114606
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6048,"2016",5024,722,"Ames, IA","16000US1901855","ames-ia","Native Born",0.07841056295163329
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6048,"2016",24888,1528,"Ames, IA","16000US1901855","ames-ia","Native Born",0.38843194481294774
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6048,"2016",7051,929,"Ames, IA","16000US1901855","ames-ia","Native Born",0.11004635337817802
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6048,"2016",3561,598,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05557723221949963
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6048,"2016",3731,584,"Ames, IA","16000US1901855","ames-ia","Native Born",0.058230455886254744
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6048,"2016",2038,387,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03180746960498182
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6048,"2016",676,217,"Ames, IA","16000US1901855","ames-ia","Native Born",0.010550465874861486
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6048,"2016",1339,406,"Ames, IA","16000US1901855","ames-ia","Native Born",0.020898038175206406
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6048,"2016",2836,440,"Ames, IA","16000US1901855","ames-ia","Native Born",0.044262013640691086
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6048,"2016",2623,453,"Ames, IA","16000US1901855","ames-ia","Native Born",0.040937680458227335
3,"Foreign Born",0,"Under 5 Years",2016,"2016",57,40,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0008896102882649478
3,"Foreign Born",1,"5 to 17 Years",2016,"2016",362,143,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.005649805690384405
3,"Foreign Born",2,"18 to 24 Years",2016,"2016",3109,272,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.048522778705539
3,"Foreign Born",3,"25 to 34 Years",2016,"2016",1833,271,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.028607994006835953
3,"Foreign Born",4,"35 to 44 Years",2016,"2016",1209,192,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.018869102430040734
3,"Foreign Born",5,"45 to 54 Years",2016,"2016",695,162,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.010847002637616468
3,"Foreign Born",6,"55 to 59 Years",2016,"2016",42,39,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0006555023176689089
