ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,"2017","04000US19","Iowa",615,184.1656862719003,"Ames, IA","16000US1901855","ames-ia"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2017,"2017","04000US19","Iowa",3617,485.3967449417023,"Ames, IA","16000US1901855","ames-ia"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,"2017","04000US19","Iowa",1132,277.90106153089806,"Ames, IA","16000US1901855","ames-ia"
12,"Public Administration (Group)",19,"Public Administration",2017,"2017","04000US19","Iowa",1294,289.4563870430224,"Ames, IA","16000US1901855","ames-ia"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,"2016","04000US19","Iowa",604,203.92400545301183,"Ames, IA","16000US1901855","ames-ia"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,"2016","04000US19","Iowa",26,48.30113870293329,"Ames, IA","16000US1901855","ames-ia"
1,"Construction (Group)",2,"Construction",2016,"2016","04000US19","Iowa",1155,276.52305509667724,"Ames, IA","16000US1901855","ames-ia"
2,"Manufacturing (Group)",3,"Manufacturing",2016,"2016","04000US19","Iowa",3046,437.49857142623904,"Ames, IA","16000US1901855","ames-ia"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2016,"2016","04000US19","Iowa",379,133.27040181525678,"Ames, IA","16000US1901855","ames-ia"
4,"Retail Trade (Group)",5,"Retail Trade",2016,"2016","04000US19","Iowa",3514,452.13382974513195,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2016,"2016","04000US19","Iowa",487,138.2208377922808,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2016,"2016","04000US19","Iowa",119,72.24956747275377,"Ames, IA","16000US1901855","ames-ia"
